;Order date;Order type;Workflow status;Business Partner;Container;Front Office Domicile Country;Money Account (-) (leg 1);Money Account (+) (leg 1);Money Account (-) (leg 2);Money Account (+) (leg 2);Bank buys (leg 1);Bank buys (leg 2);Bank sells leg 1;Bank sells leg 2;Asset leg 1;Asset leg 2;Trade date;Value date leg 1;Value date leg 2
158202344;08.02.2019;FX swap;Ready to print;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;000025502978 BE87480945108794 Nostro Account EUR;0000255.MM MACC.SETTLE.OUT.CHF recon_settle;0000255.MM MACC.SETTLE.IN.CHF recon_settle;000025502978 BE87480945108794 Nostro Account EUR;EUR 4200000;CHF 4771342.8;CHF 4771502.4;EUR 4200000;FX Swap Near Leg - EUR/CHF, 08.02.19 (1248806);FX Swap Far Leg - EUR/CHF, 11.02.19 (1248807);08.02.2019;08.02.2019;11.02.2019
158197775;08.02.2019;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.GBP recon_settle;0000123.MM MACC.SETTLE.IN.GBP recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;USD 8697796.62;GBP 6700000;GBP 6700000;USD 8703864.14;FX Swap Near Leg - GBP/USD, 08.02.19 (1247806);FX Swap Far Leg - GBP/USD, 22.02.19 (1247807);07.02.2019;08.02.2019;22.02.2019
158196405;08.02.2019;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.CHF recon_settle;0000123.MM MACC.SETTLE.IN.CHF recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 7000000;CHF 7960494.5;CHF 7960572.2;EUR 7000000;FX Swap Near Leg - EUR/CHF, 07.02.19 (1246807);FX Swap Far Leg - EUR/CHF, 08.02.19 (1246808);07.02.2019;07.02.2019;08.02.2019
158192180;07.02.2019;FX swap;Done;BANQUE CANTONALE GENEVE;0000231.3004 AUX Interim money trading (23);;000023109001 CH9600788000050615151 Nostro Account JPY;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023109001 CH9600788000050615151 Nostro Account JPY;JPY 245000000;EUR 1961192.4;EUR 1961569.26;JPY 245000000;FX Swap Near Leg - JPY/EUR, 08.02.19 (1245827);FX Swap Far Leg - JPY/EUR, 08.03.19 (1245828);06.02.2019;08.02.2019;08.03.2019
158190410;07.02.2019;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.CHF recon_settle;0000123.MM MACC.SETTLE.IN.CHF recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 10500000;CHF 11966670.45;CHF 11966795.4;EUR 10500000;FX Swap Near Leg - EUR/CHF, 06.02.19 (1244810);FX Swap Far Leg - EUR/CHF, 07.02.19 (1244811);06.02.2019;06.02.2019;07.02.2019
158183578;06.02.2019;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.CHF recon_settle;0000123.MM MACC.SETTLE.IN.CHF recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 9000000;CHF 10269386.1;CHF 10269507.6;EUR 9000000;FX Swap Near Leg - EUR/CHF, 05.02.19 (1243795);FX Swap Far Leg - EUR/CHF, 06.02.19 (1243796);05.02.2019;05.02.2019;06.02.2019
158177188;05.02.2019;FX swap;Done;RAIFFEISEN BANK INT. AT;0001153.3003 AUX Interim money trading (23);;0001153.MM MACC.SETTLE.IN.EUR recon_settle;0001153.MM MACC.SETTLE.OUT.CHF recon_settle;0001153.MM MACC.SETTLE.IN.CHF recon_settle;0001153.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 12000000;CHF 13693308;CHF 13693476;EUR 12000000;FX Swap Near Leg - EUR/CHF, 04.02.19 (1241852);FX Swap Far Leg - EUR/CHF, 05.02.19 (1241853);04.02.2019;04.02.2019;05.02.2019
158166657;02.02.2019;FX swap;Done;RAIFFEISEN BANK INT. AT;0001153.3003 AUX Interim money trading (23);;0001153.MM MACC.SETTLE.IN.USD recon_settle;0001153A0002 83-55.030.233 Nostro Account GBP;0001153A0002 83-55.030.233 Nostro Account GBP;0001153.MM MACC.SETTLE.OUT.USD recon_settle;USD 9000000;GBP 6886715.07;GBP 6891566.56;USD 9000000;FX Swap Near Leg - USD/GBP, 01.02.19 (1240799);FX Swap Far Leg - USD/GBP, 15.02.19 (1240800);01.02.2019;01.02.2019;15.02.2019
158166604;02.02.2019;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.CAD recon_settle;0000123.MM MACC.SETTLE.IN.CAD recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;USD 6086960.76;CAD 8000000;CAD 8000000;USD 6088853.73;FX Swap Near Leg - CAD/USD, 01.02.19 (1240795);FX Swap Far Leg - CAD/USD, 15.02.19 (1240796);01.02.2019;01.02.2019;15.02.2019
158165454;02.02.2019;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.CHF recon_settle;0000123.MM MACC.SETTLE.IN.CHF recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 10000000;CHF 11384922;CHF 11385320;EUR 10000000;FX Swap Near Leg - EUR/CHF, 01.02.19 (1239785);FX Swap Far Leg - EUR/CHF, 04.02.19 (1239786);01.02.2019;01.02.2019;04.02.2019
